<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY2280435400PE,07/11/2022,09:56:00,784.10,784.10,784.10,784.10,201,0
BANKNIFTY2280435400PE,07/11/2022,10:11:00,781.45,781.45,781.45,781.45,200,200
BANKNIFTY2280435400PE,07/11/2022,10:19:00,775.15,775.15,775.15,775.15,25,200
BANKNIFTY2280435400PE,07/11/2022,13:11:00,769.00,769.00,769.00,769.00,25,175
BANKNIFTY2280435400PE,07/11/2022,13:17:00,753.35,753.35,753.35,753.35,50,175
BANKNIFTY2280435400PE,07/11/2022,13:23:00,753.35,779.70,753.35,779.70,50,175
BANKNIFTY2280435400PE,07/11/2022,14:05:00,751.65,751.65,751.65,751.65,75,175
BANKNIFTY2280435400PE,07/11/2022,14:39:00,681.65,681.65,681.65,681.65,25,100
BANKNIFTY2280435400PE,07/12/2022,10:55:00,738.30,738.30,738.30,738.30,26,125
BANKNIFTY2280435400PE,07/12/2022,12:12:00,790.90,790.90,790.90,790.90,25,150
BANKNIFTY2280435400PE,07/12/2022,12:15:00,790.90,790.90,790.90,790.90,25,175
BANKNIFTY2280435400PE,07/13/2022,10:02:00,778.70,778.70,778.70,778.70,26,150
BANKNIFTY2280435400PE,07/13/2022,10:03:00,789.75,789.75,789.75,789.75,75,150
BANKNIFTY2280435400PE,07/13/2022,10:17:00,789.75,789.75,789.75,789.75,25,225
BANKNIFTY2280435400PE,07/13/2022,10:25:00,756.55,807.00,756.55,807.00,50,225
BANKNIFTY2280435400PE,07/13/2022,10:32:00,820.90,820.90,820.90,820.90,25,200
BANKNIFTY2280435400PE,07/13/2022,10:33:00,820.90,820.90,820.90,820.90,25,200
BANKNIFTY2280435400PE,07/13/2022,10:41:00,818.30,818.30,818.30,818.30,25,200
BANKNIFTY2280435400PE,07/13/2022,11:17:00,855.00,855.00,855.00,855.00,25,200
BANKNIFTY2280435400PE,07/13/2022,11:44:00,855.00,855.00,855.00,855.00,175,225
BANKNIFTY2280435400PE,07/14/2022,12:14:00,987.60,987.60,987.60,987.60,26,350
BANKNIFTY2280435400PE,07/15/2022,12:19:00,1115.10,1115.10,1115.10,1115.10,26,350
BANKNIFTY2280435400PE,07/18/2022,12:15:00,751.95,751.95,751.95,751.95,26,375
BANKNIFTY2280435400PE,07/18/2022,13:15:00,700.95,700.95,700.95,700.95,25,400
BANKNIFTY2280435400PE,07/18/2022,14:09:00,650.85,650.85,650.60,650.60,150,425
BANKNIFTY2280435400PE,07/18/2022,14:11:00,645.15,645.15,645.15,645.15,25,425
BANKNIFTY2280435400PE,07/18/2022,14:45:00,599.00,599.00,599.00,599.00,50,600
