<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY22AUG33600PE,07/01/2022,10:16:00,1388.95,1388.95,1388.95,1388.95,26,25
BANKNIFTY22AUG33600PE,07/01/2022,13:42:00,1221.95,1221.95,1221.95,1221.95,25,25
BANKNIFTY22AUG33600PE,07/01/2022,15:09:00,1150.00,1150.00,1150.00,1150.00,25,50
BANKNIFTY22AUG33600PE,07/01/2022,15:13:00,1144.95,1144.95,1144.95,1144.95,250,75
BANKNIFTY22AUG33600PE,07/04/2022,09:47:00,1137.95,1137.95,1137.95,1137.95,26,300
BANKNIFTY22AUG33600PE,07/04/2022,09:48:00,1153.00,1153.00,1153.00,1153.00,25,325
BANKNIFTY22AUG33600PE,07/04/2022,11:28:00,1153.00,1153.00,1153.00,1153.00,50,325
BANKNIFTY22AUG33600PE,07/04/2022,11:32:00,1055.00,1055.00,1055.00,1055.00,25,375
BANKNIFTY22AUG33600PE,07/04/2022,14:07:00,1050.00,1050.00,1050.00,1050.00,25,400
BANKNIFTY22AUG33600PE,07/04/2022,14:55:00,990.00,990.00,990.00,990.00,75,425
BANKNIFTY22AUG33600PE,07/04/2022,15:10:00,968.25,968.25,968.25,968.25,75,425
BANKNIFTY22AUG33600PE,07/04/2022,15:23:00,957.95,957.95,957.95,957.95,25,425
BANKNIFTY22AUG33600PE,07/05/2022,09:25:00,866.95,866.95,866.95,866.95,26,450
BANKNIFTY22AUG33600PE,07/05/2022,09:27:00,866.95,866.95,866.95,866.95,25,475
BANKNIFTY22AUG33600PE,07/05/2022,09:30:00,848.00,848.00,848.00,848.00,25,475
BANKNIFTY22AUG33600PE,07/05/2022,09:32:00,847.75,847.75,847.75,847.75,25,475
BANKNIFTY22AUG33600PE,07/05/2022,09:45:00,818.75,818.75,818.75,818.75,25,475
BANKNIFTY22AUG33600PE,07/05/2022,11:12:00,817.50,817.50,817.50,817.50,25,450
BANKNIFTY22AUG33600PE,07/05/2022,13:57:00,817.50,817.50,817.50,817.50,25,450
BANKNIFTY22AUG33600PE,07/05/2022,14:06:00,900.80,900.80,900.80,900.80,25,475
BANKNIFTY22AUG33600PE,07/05/2022,14:59:00,971.00,971.00,971.00,971.00,100,500
BANKNIFTY22AUG33600PE,07/05/2022,15:03:00,1029.05,1029.05,1029.05,1029.05,25,500
BANKNIFTY22AUG33600PE,07/05/2022,15:23:00,1032.05,1032.05,1032.05,1032.05,25,500
BANKNIFTY22AUG33600PE,07/06/2022,09:44:00,912.65,912.65,912.65,912.65,26,500
BANKNIFTY22AUG33600PE,07/06/2022,12:32:00,846.80,846.80,846.80,846.80,25,525
BANKNIFTY22AUG33600PE,07/06/2022,15:09:00,825.50,825.50,825.50,825.50,25,550
BANKNIFTY22AUG33600PE,07/07/2022,09:36:00,653.35,653.35,653.35,653.35,26,575
BANKNIFTY22AUG33600PE,07/07/2022,09:38:00,653.35,653.35,653.35,653.35,25,575
BANKNIFTY22AUG33600PE,07/07/2022,10:07:00,653.35,653.35,653.35,653.35,25,575
BANKNIFTY22AUG33600PE,07/07/2022,10:08:00,653.35,653.35,653.35,653.35,25,575
BANKNIFTY22AUG33600PE,07/07/2022,12:15:00,650.00,650.00,650.00,650.00,75,625
BANKNIFTY22AUG33600PE,07/07/2022,12:21:00,650.00,650.00,650.00,650.00,25,625
BANKNIFTY22AUG33600PE,07/07/2022,14:15:00,661.10,661.10,661.10,661.10,25,625
BANKNIFTY22AUG33600PE,07/07/2022,14:47:00,594.00,594.00,594.00,594.00,25,625
BANKNIFTY22AUG33600PE,07/07/2022,14:48:00,593.40,593.40,593.40,593.40,25,625
BANKNIFTY22AUG33600PE,07/07/2022,14:50:00,590.10,590.10,590.10,590.10,25,600
BANKNIFTY22AUG33600PE,07/07/2022,15:05:00,570.95,570.95,570.95,570.95,25,600
BANKNIFTY22AUG33600PE,07/07/2022,15:13:00,566.00,566.00,566.00,566.00,50,625
BANKNIFTY22AUG33600PE,07/08/2022,09:34:00,502.65,502.65,502.65,502.65,26,625
BANKNIFTY22AUG33600PE,07/08/2022,09:47:00,481.30,481.30,481.30,481.30,25,625
BANKNIFTY22AUG33600PE,07/08/2022,13:33:00,481.30,481.30,481.30,481.30,25,625
BANKNIFTY22AUG33600PE,07/08/2022,13:38:00,486.25,486.25,486.25,486.25,175,625
BANKNIFTY22AUG33600PE,07/08/2022,13:39:00,480.30,480.30,480.30,480.30,50,625
BANKNIFTY22AUG33600PE,07/08/2022,13:40:00,480.30,480.30,480.30,480.30,50,650
BANKNIFTY22AUG33600PE,07/08/2022,13:42:00,483.65,483.65,483.65,483.65,100,650
BANKNIFTY22AUG33600PE,07/08/2022,14:14:00,495.10,495.10,495.10,495.10,25,625
BANKNIFTY22AUG33600PE,07/08/2022,14:38:00,503.25,512.45,503.25,512.45,275,625
BANKNIFTY22AUG33600PE,07/08/2022,14:39:00,515.45,515.45,515.45,515.45,125,625
BANKNIFTY22AUG33600PE,07/08/2022,15:28:00,515.45,515.45,515.45,515.45,50,825
BANKNIFTY22AUG33600PE,07/11/2022,10:18:00,431.60,431.60,431.60,431.60,51,850
BANKNIFTY22AUG33600PE,07/11/2022,14:35:00,405.00,405.00,405.00,405.00,75,900
BANKNIFTY22AUG33600PE,07/11/2022,14:40:00,372.90,372.90,372.90,372.90,25,900
BANKNIFTY22AUG33600PE,07/11/2022,15:17:00,372.90,372.90,372.90,372.90,50,875
BANKNIFTY22AUG33600PE,07/11/2022,15:27:00,400.05,400.05,400.05,400.05,75,0
BANKNIFTY22AUG33600PE,07/12/2022,09:33:00,400.05,400.05,400.05,400.05,26,850
BANKNIFTY22AUG33600PE,07/12/2022,09:39:00,410.05,410.05,410.05,410.05,50,850
BANKNIFTY22AUG33600PE,07/12/2022,09:44:00,416.50,416.50,416.50,416.50,150,875
BANKNIFTY22AUG33600PE,07/12/2022,09:45:00,416.25,416.25,416.25,416.25,25,875
BANKNIFTY22AUG33600PE,07/12/2022,09:57:00,413.15,413.15,413.15,413.15,25,800
BANKNIFTY22AUG33600PE,07/12/2022,10:14:00,409.20,409.20,409.20,409.20,25,800
BANKNIFTY22AUG33600PE,07/12/2022,10:18:00,410.95,410.95,410.95,410.95,25,800
BANKNIFTY22AUG33600PE,07/12/2022,11:09:00,394.30,394.30,394.30,394.30,25,825
BANKNIFTY22AUG33600PE,07/12/2022,11:29:00,394.30,394.30,394.30,394.30,25,800
