<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY22AUG39900CE,07/21/2022,11:26:00,26.15,26.15,26.15,26.15,26,0
BANKNIFTY22AUG39900CE,07/21/2022,11:37:00,46.70,46.70,46.70,46.70,25,25
BANKNIFTY22AUG39900CE,07/21/2022,11:50:00,46.70,46.70,43.00,43.00,1700,25
BANKNIFTY22AUG39900CE,07/21/2022,12:03:00,43.00,43.00,43.00,43.00,200,1125
BANKNIFTY22AUG39900CE,07/21/2022,12:05:00,43.00,43.00,43.00,43.00,50,1125
BANKNIFTY22AUG39900CE,07/21/2022,12:10:00,42.95,42.95,42.95,42.95,125,1375
BANKNIFTY22AUG39900CE,07/21/2022,12:11:00,42.95,42.95,42.95,42.95,175,1375
BANKNIFTY22AUG39900CE,07/21/2022,12:12:00,42.70,42.70,42.70,42.70,25,1375
BANKNIFTY22AUG39900CE,07/21/2022,12:14:00,43.00,43.00,43.00,43.00,25,1375
BANKNIFTY22AUG39900CE,07/21/2022,12:15:00,43.00,43.00,42.95,42.95,175,1375
BANKNIFTY22AUG39900CE,07/21/2022,12:16:00,42.95,42.95,42.95,42.95,25,1375
BANKNIFTY22AUG39900CE,07/21/2022,12:22:00,41.30,41.30,41.30,41.30,25,1425
BANKNIFTY22AUG39900CE,07/21/2022,12:23:00,41.00,41.00,41.00,41.00,150,1425
BANKNIFTY22AUG39900CE,07/21/2022,12:33:00,42.80,42.80,42.80,42.80,25,1425
BANKNIFTY22AUG39900CE,07/21/2022,12:43:00,43.00,43.00,43.00,43.00,525,1425
BANKNIFTY22AUG39900CE,07/21/2022,12:49:00,40.75,40.75,40.75,40.75,300,1425
BANKNIFTY22AUG39900CE,07/21/2022,12:53:00,44.20,44.20,44.20,44.20,50,1125
BANKNIFTY22AUG39900CE,07/21/2022,13:12:00,40.70,40.70,40.70,40.70,25,1100
BANKNIFTY22AUG39900CE,07/21/2022,13:29:00,38.60,38.60,38.60,38.60,50,1100
BANKNIFTY22AUG39900CE,07/21/2022,13:43:00,36.50,36.50,36.50,36.50,75,1100
BANKNIFTY22AUG39900CE,07/21/2022,14:02:00,36.55,36.55,36.55,36.55,25,1125
BANKNIFTY22AUG39900CE,07/21/2022,14:32:00,38.10,38.10,38.10,38.10,25,1125
BANKNIFTY22AUG39900CE,07/21/2022,14:33:00,42.25,42.25,39.65,39.65,100,1125
BANKNIFTY22AUG39900CE,07/21/2022,14:52:00,37.20,37.20,37.20,37.20,50,1175
BANKNIFTY22AUG39900CE,07/21/2022,15:25:00,51.95,51.95,51.95,51.95,50,1175
BANKNIFTY22AUG39900CE,07/22/2022,09:15:00,53.85,53.85,46.20,46.20,252,1175
BANKNIFTY22AUG39900CE,07/22/2022,09:30:00,49.00,49.00,49.00,49.00,50,1100
BANKNIFTY22AUG39900CE,07/22/2022,10:02:00,45.90,45.90,45.90,45.90,50,1100
BANKNIFTY22AUG39900CE,07/22/2022,10:57:00,43.20,43.20,43.20,43.20,25,1050
BANKNIFTY22AUG39900CE,07/22/2022,11:09:00,43.20,43.20,43.20,43.20,950,1025
BANKNIFTY22AUG39900CE,07/22/2022,11:10:00,46.20,46.20,46.20,46.20,1200,1025
BANKNIFTY22AUG39900CE,07/22/2022,11:23:00,46.20,46.20,46.20,46.20,25,2225
BANKNIFTY22AUG39900CE,07/22/2022,11:24:00,43.45,43.45,43.45,43.45,950,2225
BANKNIFTY22AUG39900CE,07/22/2022,11:29:00,45.45,46.15,45.45,46.15,225,1275
BANKNIFTY22AUG39900CE,07/22/2022,13:56:00,56.00,56.00,56.00,56.00,25,1275
BANKNIFTY22AUG39900CE,07/22/2022,14:22:00,58.85,58.85,58.85,58.85,50,1300
BANKNIFTY22AUG39900CE,07/22/2022,14:48:00,59.00,59.00,55.45,55.45,400,1450
BANKNIFTY22AUG39900CE,07/22/2022,14:52:00,54.75,54.75,54.75,54.75,25,1200
BANKNIFTY22AUG39900CE,07/22/2022,15:12:00,55.60,55.60,55.60,55.60,175,1200
BANKNIFTY22AUG39900CE,07/22/2022,15:21:00,53.20,53.20,53.20,53.20,125,1375
BANKNIFTY22AUG39900CE,07/22/2022,15:25:00,53.65,53.65,53.65,53.65,50,1500
BANKNIFTY22AUG39900CE,07/22/2022,15:29:00,52.00,52.00,52.00,52.00,25,1500
BANKNIFTY22AUG39900CE,07/25/2022,09:22:00,65.10,65.10,65.10,65.10,26,1500
BANKNIFTY22AUG39900CE,07/25/2022,10:25:00,42.35,42.35,42.35,42.35,100,1500
BANKNIFTY22AUG39900CE,07/25/2022,10:30:00,43.40,43.40,43.40,43.40,25,1500
BANKNIFTY22AUG39900CE,07/25/2022,10:33:00,43.40,43.40,43.40,43.40,500,1475
BANKNIFTY22AUG39900CE,07/25/2022,10:37:00,43.05,43.05,43.05,43.05,125,1475
BANKNIFTY22AUG39900CE,07/25/2022,11:26:00,39.90,39.90,39.90,39.90,150,1350
BANKNIFTY22AUG39900CE,07/25/2022,11:28:00,41.95,41.95,41.95,41.95,25,1400
BANKNIFTY22AUG39900CE,07/25/2022,11:29:00,41.70,41.70,41.70,41.70,100,1400
BANKNIFTY22AUG39900CE,07/25/2022,11:32:00,40.55,40.55,40.55,40.55,100,1525
BANKNIFTY22AUG39900CE,07/25/2022,11:49:00,40.55,40.55,40.55,40.55,50,1575
BANKNIFTY22AUG39900CE,07/25/2022,11:57:00,41.85,41.85,41.85,41.85,25,1575
BANKNIFTY22AUG39900CE,07/25/2022,12:07:00,41.10,41.10,41.10,41.10,25,1600
BANKNIFTY22AUG39900CE,07/25/2022,12:10:00,40.10,40.10,40.10,40.10,150,1625
BANKNIFTY22AUG39900CE,07/25/2022,12:18:00,41.00,41.00,41.00,41.00,200,1775
BANKNIFTY22AUG39900CE,07/25/2022,12:19:00,39.95,39.95,39.95,39.95,200,1975
BANKNIFTY22AUG39900CE,07/25/2022,14:18:00,49.10,49.10,49.10,49.10,50,1775
BANKNIFTY22AUG39900CE,07/25/2022,15:01:00,47.00,47.10,47.00,47.10,275,1825
BANKNIFTY22AUG39900CE,07/25/2022,15:05:00,46.80,46.80,46.80,46.80,50,2100
