<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY22DEC30000PE,07/01/2022,14:31:00,701.00,701.00,701.00,701.00,26,1925
BANKNIFTY22DEC30000PE,07/01/2022,14:52:00,675.00,675.00,675.00,675.00,25,1950
BANKNIFTY22DEC30000PE,07/04/2022,11:51:00,600.00,600.00,600.00,600.00,26,1950
BANKNIFTY22DEC30000PE,07/04/2022,12:24:00,600.00,600.00,600.00,600.00,25,1925
BANKNIFTY22DEC30000PE,07/04/2022,12:58:00,610.00,610.00,610.00,610.00,25,1950
BANKNIFTY22DEC30000PE,07/04/2022,14:26:00,610.00,610.00,610.00,610.00,50,1950
BANKNIFTY22DEC30000PE,07/04/2022,15:25:00,610.00,610.00,610.00,610.00,25,1950
BANKNIFTY22DEC30000PE,07/05/2022,09:56:00,599.95,600.00,599.95,600.00,52,1950
BANKNIFTY22DEC30000PE,07/05/2022,10:17:00,618.00,618.00,618.00,618.00,25,1925
BANKNIFTY22DEC30000PE,07/05/2022,10:46:00,618.00,618.00,618.00,618.00,25,1925
BANKNIFTY22DEC30000PE,07/05/2022,10:49:00,533.50,533.50,533.50,533.50,25,1950
BANKNIFTY22DEC30000PE,07/05/2022,13:58:00,533.50,533.50,533.50,533.50,50,1950
BANKNIFTY22DEC30000PE,07/05/2022,13:59:00,550.00,550.00,550.00,550.00,175,1950
BANKNIFTY22DEC30000PE,07/06/2022,09:34:00,500.00,500.00,500.00,500.00,251,2175
BANKNIFTY22DEC30000PE,07/06/2022,12:15:00,540.00,540.00,540.00,540.00,25,2425
BANKNIFTY22DEC30000PE,07/06/2022,14:50:00,540.00,540.00,540.00,540.00,25,2450
BANKNIFTY22DEC30000PE,07/06/2022,15:18:00,560.00,560.00,560.00,560.00,25,2450
BANKNIFTY22DEC30000PE,07/07/2022,13:33:00,495.00,495.00,495.00,495.00,26,2450
BANKNIFTY22DEC30000PE,07/07/2022,14:57:00,489.00,489.00,489.00,489.00,25,2425
BANKNIFTY22DEC30000PE,07/07/2022,15:02:00,480.00,480.00,480.00,480.00,100,2400
BANKNIFTY22DEC30000PE,07/07/2022,15:03:00,475.00,475.00,475.00,475.00,50,2400
BANKNIFTY22DEC30000PE,07/07/2022,15:05:00,475.00,475.00,475.00,475.00,125,2325
BANKNIFTY22DEC30000PE,07/07/2022,15:06:00,475.00,475.00,475.00,475.00,125,2325
BANKNIFTY22DEC30000PE,07/07/2022,15:07:00,475.00,475.00,475.00,475.00,375,2100
BANKNIFTY22DEC30000PE,07/07/2022,15:17:00,470.00,470.00,470.00,470.00,25,1725
BANKNIFTY22DEC30000PE,07/07/2022,15:22:00,460.00,460.00,460.00,460.00,25,1700
BANKNIFTY22DEC30000PE,07/07/2022,15:24:00,460.00,460.00,460.00,460.00,25,1700
BANKNIFTY22DEC30000PE,07/07/2022,15:29:00,450.00,450.00,450.00,450.00,100,1650
BANKNIFTY22DEC30000PE,07/08/2022,11:39:00,447.90,447.90,447.90,447.90,26,1550
BANKNIFTY22DEC30000PE,07/08/2022,14:50:00,420.00,420.00,420.00,420.00,25,1550
BANKNIFTY22DEC30000PE,07/11/2022,11:53:00,426.00,426.00,426.00,426.00,26,1550
BANKNIFTY22DEC30000PE,07/13/2022,15:17:00,350.00,350.00,350.00,350.00,26,1525
BANKNIFTY22DEC30000PE,07/14/2022,13:27:00,400.00,400.00,400.00,400.00,26,1525
BANKNIFTY22DEC30000PE,07/14/2022,13:35:00,400.00,400.00,400.00,400.00,25,1550
BANKNIFTY22DEC30000PE,07/14/2022,15:05:00,400.10,400.10,400.10,400.10,25,1550
BANKNIFTY22DEC30000PE,07/14/2022,15:13:00,405.00,405.00,405.00,405.00,50,1575
BANKNIFTY22DEC30000PE,07/14/2022,15:19:00,405.00,405.00,405.00,405.00,50,1575
BANKNIFTY22DEC30000PE,07/14/2022,15:20:00,400.00,400.00,400.00,400.00,50,1575
BANKNIFTY22DEC30000PE,07/14/2022,15:24:00,380.00,380.00,380.00,380.00,25,1575
BANKNIFTY22DEC30000PE,07/14/2022,15:26:00,380.00,380.00,380.00,380.00,25,1575
BANKNIFTY22DEC30000PE,07/15/2022,09:54:00,399.45,400.00,399.45,400.00,77,1575
BANKNIFTY22DEC30000PE,07/15/2022,10:09:00,399.00,399.00,399.00,399.00,25,1650
BANKNIFTY22DEC30000PE,07/15/2022,10:11:00,399.00,399.00,399.00,399.00,25,1650
BANKNIFTY22DEC30000PE,07/15/2022,10:44:00,393.10,393.10,393.10,393.10,25,1650
BANKNIFTY22DEC30000PE,07/15/2022,10:46:00,393.10,393.10,393.10,393.10,50,1650
BANKNIFTY22DEC30000PE,07/15/2022,10:47:00,401.00,401.00,401.00,401.00,25,1650
BANKNIFTY22DEC30000PE,07/15/2022,11:16:00,401.00,401.00,401.00,401.00,25,1675
BANKNIFTY22DEC30000PE,07/15/2022,11:37:00,356.30,356.30,356.30,356.30,25,1700
BANKNIFTY22DEC30000PE,07/15/2022,13:16:00,350.00,350.00,350.00,350.00,25,1700
BANKNIFTY22DEC30000PE,07/15/2022,13:23:00,350.00,350.00,350.00,350.00,25,1725
BANKNIFTY22DEC30000PE,07/15/2022,14:20:00,353.30,353.30,353.30,353.30,25,1725
BANKNIFTY22DEC30000PE,07/15/2022,15:14:00,353.40,353.40,353.40,353.40,25,1750
BANKNIFTY22DEC30000PE,07/15/2022,15:16:00,353.30,353.30,353.30,353.30,25,1775
BANKNIFTY22DEC30000PE,07/18/2022,10:02:00,340.00,340.00,340.00,340.00,76,1775
BANKNIFTY22DEC30000PE,07/18/2022,10:05:00,340.00,340.00,340.00,340.00,25,1775
BANKNIFTY22DEC30000PE,07/18/2022,10:08:00,345.00,345.00,345.00,345.00,50,1700
BANKNIFTY22DEC30000PE,07/18/2022,10:17:00,345.00,345.00,345.00,345.00,25,1650
BANKNIFTY22DEC30000PE,07/18/2022,10:18:00,340.00,340.00,340.00,340.00,50,1625
BANKNIFTY22DEC30000PE,07/18/2022,10:33:00,340.00,340.00,340.00,340.00,50,1625
BANKNIFTY22DEC30000PE,07/18/2022,11:06:00,337.00,337.00,337.00,337.00,25,1600
BANKNIFTY22DEC30000PE,07/18/2022,11:16:00,337.00,337.00,337.00,337.00,25,1575
BANKNIFTY22DEC30000PE,07/18/2022,11:18:00,337.00,337.00,337.00,337.00,25,1575
BANKNIFTY22DEC30000PE,07/18/2022,11:20:00,338.00,338.00,338.00,338.00,25,1575
BANKNIFTY22DEC30000PE,07/18/2022,11:21:00,335.00,335.00,335.00,335.00,25,1525
BANKNIFTY22DEC30000PE,07/18/2022,12:53:00,300.00,300.00,300.00,300.00,25,1500
BANKNIFTY22DEC30000PE,07/18/2022,13:44:00,300.00,300.00,300.00,300.00,25,1500
BANKNIFTY22DEC30000PE,07/18/2022,14:30:00,300.00,300.00,300.00,300.00,25,1475
BANKNIFTY22DEC30000PE,07/18/2022,14:31:00,300.00,300.00,300.00,300.00,25,1475
BANKNIFTY22DEC30000PE,07/18/2022,14:35:00,300.00,300.00,300.00,300.00,25,1425
BANKNIFTY22DEC30000PE,07/18/2022,15:10:00,300.00,300.00,300.00,300.00,25,1425
BANKNIFTY22DEC30000PE,07/18/2022,15:14:00,350.00,350.00,350.00,350.00,50,1425
BANKNIFTY22DEC30000PE,07/19/2022,10:23:00,280.00,280.00,280.00,280.00,26,1400
BANKNIFTY22DEC30000PE,07/19/2022,10:52:00,271.60,271.60,271.60,271.60,25,1400
BANKNIFTY22DEC30000PE,07/19/2022,11:15:00,261.05,261.05,261.05,261.05,25,1400
BANKNIFTY22DEC30000PE,07/19/2022,11:51:00,261.05,261.05,261.05,261.05,25,1425
BANKNIFTY22DEC30000PE,07/19/2022,13:27:00,327.55,327.55,327.55,327.55,50,1450
BANKNIFTY22DEC30000PE,07/19/2022,15:04:00,327.55,327.55,327.55,327.55,25,1450
BANKNIFTY22DEC30000PE,07/19/2022,15:14:00,267.00,267.00,267.00,267.00,50,1425
BANKNIFTY22DEC30000PE,07/19/2022,15:28:00,317.70,317.70,317.70,317.70,75,1375
BANKNIFTY22DEC30000PE,07/20/2022,09:25:00,200.00,200.00,200.00,200.00,26,1300
BANKNIFTY22DEC30000PE,07/20/2022,09:26:00,220.00,220.00,220.00,220.00,25,1325
BANKNIFTY22DEC30000PE,07/20/2022,09:32:00,297.00,297.00,297.00,297.00,600,1350
BANKNIFTY22DEC30000PE,07/20/2022,13:57:00,297.00,297.00,297.00,297.00,50,800
BANKNIFTY22DEC30000PE,07/20/2022,14:14:00,280.00,280.00,280.00,280.00,25,800
BANKNIFTY22DEC30000PE,07/20/2022,14:54:00,250.00,250.00,250.00,250.00,25,825
BANKNIFTY22DEC30000PE,07/20/2022,14:55:00,202.50,202.50,202.50,202.50,50,825
BANKNIFTY22DEC30000PE,07/21/2022,09:20:00,249.90,249.90,249.90,249.90,26,825
BANKNIFTY22DEC30000PE,07/21/2022,10:52:00,245.00,245.00,245.00,245.00,25,825
BANKNIFTY22DEC30000PE,07/21/2022,11:27:00,245.00,245.00,245.00,245.00,25,825
BANKNIFTY22DEC30000PE,07/21/2022,13:55:00,250.00,250.00,250.00,250.00,25,800
BANKNIFTY22DEC30000PE,07/21/2022,14:50:00,240.00,240.00,240.00,240.00,25,825
BANKNIFTY22DEC30000PE,07/21/2022,14:53:00,240.00,240.00,240.00,240.00,25,825
BANKNIFTY22DEC30000PE,07/22/2022,09:25:00,207.00,207.00,207.00,207.00,26,850
