<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY22DEC39000CE,07/01/2022,11:31:00,432.20,432.20,432.20,432.20,26,250
BANKNIFTY22DEC39000CE,07/01/2022,12:33:00,402.65,402.65,402.65,402.65,25,275
BANKNIFTY22DEC39000CE,07/05/2022,12:13:00,482.50,482.50,482.50,482.50,26,275
BANKNIFTY22DEC39000CE,07/06/2022,14:12:00,480.00,480.00,480.00,480.00,26,275
BANKNIFTY22DEC39000CE,07/06/2022,15:07:00,500.00,500.00,500.00,500.00,25,250
BANKNIFTY22DEC39000CE,07/08/2022,12:28:00,600.00,600.00,600.00,600.00,26,225
BANKNIFTY22DEC39000CE,07/11/2022,13:37:00,500.00,500.00,500.00,500.00,26,225
BANKNIFTY22DEC39000CE,07/12/2022,11:54:00,600.00,600.00,600.00,600.00,26,250
BANKNIFTY22DEC39000CE,07/13/2022,11:19:00,500.00,500.00,500.00,500.00,26,275
BANKNIFTY22DEC39000CE,07/14/2022,10:39:00,525.00,525.00,525.00,525.00,26,300
BANKNIFTY22DEC39000CE,07/14/2022,12:00:00,500.00,500.00,500.00,500.00,25,325
BANKNIFTY22DEC39000CE,07/18/2022,13:14:00,500.00,500.00,500.00,500.00,26,325
BANKNIFTY22DEC39000CE,07/20/2022,10:24:00,720.00,720.00,720.00,720.00,26,350
BANKNIFTY22DEC39000CE,07/21/2022,11:00:00,760.00,760.00,760.00,760.00,26,350
BANKNIFTY22DEC39000CE,07/21/2022,12:14:00,770.00,770.00,770.00,770.00,25,375
BANKNIFTY22DEC39000CE,07/21/2022,12:28:00,775.00,775.00,775.00,775.00,25,400
BANKNIFTY22DEC39000CE,07/21/2022,12:54:00,800.00,800.00,800.00,800.00,25,425
BANKNIFTY22DEC39000CE,07/21/2022,13:37:00,800.00,800.00,800.00,800.00,25,450
BANKNIFTY22DEC39000CE,07/21/2022,13:57:00,800.00,800.00,800.00,800.00,25,450
BANKNIFTY22DEC39000CE,07/21/2022,14:19:00,800.00,800.00,800.00,800.00,25,450
BANKNIFTY22DEC39000CE,07/21/2022,14:20:00,800.00,800.00,800.00,800.00,25,450
BANKNIFTY22DEC39000CE,07/21/2022,15:25:00,800.00,800.00,800.00,800.00,25,450
BANKNIFTY22DEC39000CE,07/22/2022,09:18:00,775.00,775.00,775.00,775.00,26,425
BANKNIFTY22DEC39000CE,07/22/2022,09:28:00,650.00,650.00,650.00,650.00,50,450
BANKNIFTY22DEC39000CE,07/22/2022,09:29:00,825.00,875.00,825.00,875.00,75,475
BANKNIFTY22DEC39000CE,07/22/2022,12:03:00,875.00,875.00,875.00,875.00,25,475
BANKNIFTY22DEC39000CE,07/22/2022,12:06:00,875.00,875.00,875.00,875.00,100,500
BANKNIFTY22DEC39000CE,07/22/2022,12:47:00,898.80,898.80,898.80,898.80,25,600
BANKNIFTY22DEC39000CE,07/22/2022,12:49:00,901.00,901.00,901.00,901.00,25,625
BANKNIFTY22DEC39000CE,07/22/2022,14:23:00,925.00,925.00,925.00,925.00,25,650
BANKNIFTY22DEC39000CE,07/22/2022,15:28:00,925.00,925.00,925.00,925.00,75,650
BANKNIFTY22DEC39000CE,07/25/2022,09:15:00,949.95,950.00,949.95,950.00,77,725
BANKNIFTY22DEC39000CE,07/25/2022,09:49:00,951.05,951.05,951.00,951.00,125,775
BANKNIFTY22DEC39000CE,07/25/2022,09:54:00,952.00,952.00,952.00,952.00,125,825
BANKNIFTY22DEC39000CE,07/25/2022,09:55:00,952.00,952.00,952.00,952.00,25,825
BANKNIFTY22DEC39000CE,07/25/2022,10:01:00,952.00,952.00,952.00,952.00,25,825
BANKNIFTY22DEC39000CE,07/25/2022,10:18:00,850.00,850.00,850.00,850.00,25,850
BANKNIFTY22DEC39000CE,07/25/2022,10:21:00,875.00,875.00,875.00,875.00,25,875
BANKNIFTY22DEC39000CE,07/26/2022,09:39:00,914.90,915.00,914.90,915.00,102,875
