<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY22JUL40800CE,07/28/2022,09:15:00,1.80,2.30,1.80,2.30,876,0
BANKNIFTY22JUL40800CE,07/28/2022,09:16:00,2.35,2.85,0.75,1.20,3325,0
BANKNIFTY22JUL40800CE,07/28/2022,09:17:00,1.15,1.40,0.75,0.75,2000,0
BANKNIFTY22JUL40800CE,07/28/2022,09:18:00,1.65,1.65,1.10,1.10,1100,5525
BANKNIFTY22JUL40800CE,07/28/2022,09:19:00,1.10,1.40,0.95,0.95,1150,5525
BANKNIFTY22JUL40800CE,07/28/2022,09:20:00,1.25,1.25,1.20,1.25,225,5525
BANKNIFTY22JUL40800CE,07/28/2022,09:21:00,0.90,1.35,0.90,1.30,1675,7750
BANKNIFTY22JUL40800CE,07/28/2022,09:22:00,1.30,1.40,1.25,1.25,1350,7750
BANKNIFTY22JUL40800CE,07/28/2022,09:23:00,1.25,1.25,1.05,1.05,475,7750
BANKNIFTY22JUL40800CE,07/28/2022,09:24:00,1.10,1.10,0.85,0.85,5400,7900
BANKNIFTY22JUL40800CE,07/28/2022,09:25:00,1.10,1.25,0.95,1.20,1425,7900
BANKNIFTY22JUL40800CE,07/28/2022,09:26:00,1.15,1.15,1.05,1.10,7675,16275
BANKNIFTY22JUL40800CE,07/28/2022,09:27:00,1.15,1.15,1.00,1.00,325,16275
BANKNIFTY22JUL40800CE,07/28/2022,09:28:00,1.00,1.00,1.00,1.00,50,16275
BANKNIFTY22JUL40800CE,07/28/2022,09:29:00,1.05,1.10,1.00,1.10,725,16725
BANKNIFTY22JUL40800CE,07/28/2022,09:30:00,1.05,1.30,1.00,1.25,7850,16725
BANKNIFTY22JUL40800CE,07/28/2022,09:31:00,1.25,1.25,1.20,1.25,475,16725
BANKNIFTY22JUL40800CE,07/28/2022,09:32:00,1.25,1.25,1.20,1.20,400,22375
BANKNIFTY22JUL40800CE,07/28/2022,09:33:00,1.25,1.40,1.20,1.30,2000,22375
BANKNIFTY22JUL40800CE,07/28/2022,09:34:00,1.25,1.35,1.25,1.35,1150,22375
BANKNIFTY22JUL40800CE,07/28/2022,09:35:00,1.35,1.60,1.35,1.40,1050,23125
BANKNIFTY22JUL40800CE,07/28/2022,09:37:00,1.40,1.40,1.40,1.40,150,23125
BANKNIFTY22JUL40800CE,07/28/2022,09:38:00,1.40,1.45,1.35,1.35,2175,23475
BANKNIFTY22JUL40800CE,07/28/2022,09:39:00,1.40,1.45,1.35,1.45,1075,23475
BANKNIFTY22JUL40800CE,07/28/2022,09:40:00,1.45,1.45,1.45,1.45,100,23475
BANKNIFTY22JUL40800CE,07/28/2022,09:41:00,1.40,1.45,1.35,1.35,1225,24225
BANKNIFTY22JUL40800CE,07/28/2022,09:42:00,1.40,1.55,1.35,1.50,6675,24225
BANKNIFTY22JUL40800CE,07/28/2022,09:43:00,1.50,1.55,1.35,1.50,3625,24225
BANKNIFTY22JUL40800CE,07/28/2022,09:44:00,1.40,1.40,1.25,1.30,2875,24225
BANKNIFTY22JUL40800CE,07/28/2022,09:45:00,1.25,1.30,1.20,1.30,2100,32350
BANKNIFTY22JUL40800CE,07/28/2022,09:46:00,1.30,1.30,1.30,1.30,200,32350
BANKNIFTY22JUL40800CE,07/28/2022,09:47:00,1.30,1.40,1.30,1.40,100,32350
BANKNIFTY22JUL40800CE,07/28/2022,09:48:00,1.25,1.25,1.25,1.25,25,32150
BANKNIFTY22JUL40800CE,07/28/2022,09:49:00,1.30,1.40,1.30,1.40,575,32150
BANKNIFTY22JUL40800CE,07/28/2022,09:51:00,1.25,1.25,1.25,1.25,25,31675
BANKNIFTY22JUL40800CE,07/28/2022,09:52:00,1.30,1.30,1.30,1.30,200,31675
BANKNIFTY22JUL40800CE,07/28/2022,09:53:00,1.25,1.25,1.25,1.25,125,31675
