<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY22OCT36000PE,07/29/2022,10:28:00,722.00,722.00,722.00,722.00,26,0
BANKNIFTY22OCT36000PE,07/29/2022,11:38:00,700.00,700.00,700.00,700.00,25,25
BANKNIFTY22OCT36000PE,07/29/2022,12:08:00,700.00,700.00,700.00,700.00,50,50
BANKNIFTY22OCT36000PE,07/29/2022,12:35:00,700.00,700.00,700.00,700.00,50,100
BANKNIFTY22OCT36000PE,07/29/2022,12:41:00,700.00,700.00,700.00,700.00,25,150
BANKNIFTY22OCT36000PE,07/29/2022,12:42:00,700.00,700.00,700.00,700.00,25,175
BANKNIFTY22OCT36000PE,07/29/2022,13:06:00,695.00,695.00,695.00,695.00,50,200
BANKNIFTY22OCT36000PE,07/29/2022,13:09:00,695.00,695.00,695.00,695.00,150,250
BANKNIFTY22OCT36000PE,07/29/2022,13:17:00,695.00,695.00,695.00,695.00,50,400
BANKNIFTY22OCT36000PE,07/29/2022,13:18:00,695.00,695.00,695.00,695.00,50,475
BANKNIFTY22OCT36000PE,07/29/2022,13:37:00,695.00,695.00,695.00,695.00,100,500
BANKNIFTY22OCT36000PE,07/29/2022,13:38:00,695.00,695.00,695.00,695.00,25,500
BANKNIFTY22OCT36000PE,07/29/2022,13:42:00,700.00,700.00,700.00,700.00,100,650
BANKNIFTY22OCT36000PE,07/29/2022,14:52:00,728.00,728.00,728.00,728.00,25,725
BANKNIFTY22OCT36000PE,07/29/2022,15:19:00,728.00,728.00,728.00,728.00,25,725
