<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY22OCT38000CE,07/29/2022,09:47:00,1275.00,1275.00,1275.00,1275.00,26,0
BANKNIFTY22OCT38000CE,07/29/2022,09:48:00,1328.80,1328.80,1328.80,1328.80,25,0
BANKNIFTY22OCT38000CE,07/29/2022,09:58:00,1328.80,1328.80,1328.80,1328.80,75,50
BANKNIFTY22OCT38000CE,07/29/2022,10:23:00,1208.00,1208.00,1208.00,1208.00,25,125
BANKNIFTY22OCT38000CE,07/29/2022,10:26:00,1200.00,1200.00,1200.00,1200.00,25,150
BANKNIFTY22OCT38000CE,07/29/2022,10:28:00,1175.00,1175.00,1175.00,1175.00,25,150
BANKNIFTY22OCT38000CE,07/29/2022,10:31:00,1150.00,1150.00,1150.00,1150.00,50,150
BANKNIFTY22OCT38000CE,07/29/2022,10:35:00,1150.00,1150.00,1150.00,1150.00,100,200
BANKNIFTY22OCT38000CE,07/29/2022,10:37:00,1150.00,1150.00,1150.00,1150.00,25,200
BANKNIFTY22OCT38000CE,07/29/2022,10:39:00,1175.00,1175.00,1175.00,1175.00,25,325
BANKNIFTY22OCT38000CE,07/29/2022,10:46:00,1140.00,1140.00,1140.00,1140.00,50,325
BANKNIFTY22OCT38000CE,07/29/2022,10:51:00,1140.00,1140.00,1140.00,1140.00,25,400
BANKNIFTY22OCT38000CE,07/29/2022,10:53:00,1218.25,1218.25,1218.25,1218.25,25,400
BANKNIFTY22OCT38000CE,07/29/2022,10:57:00,1200.00,1200.00,1200.00,1200.00,25,425
BANKNIFTY22OCT38000CE,07/29/2022,11:02:00,1150.00,1150.00,1150.00,1150.00,75,450
BANKNIFTY22OCT38000CE,07/29/2022,11:06:00,1175.00,1175.00,1175.00,1175.00,75,525
BANKNIFTY22OCT38000CE,07/29/2022,11:07:00,1175.00,1175.00,1175.00,1175.00,25,525
BANKNIFTY22OCT38000CE,07/29/2022,11:08:00,1233.10,1233.10,1233.10,1233.10,25,625
BANKNIFTY22OCT38000CE,07/29/2022,11:22:00,1175.00,1175.00,1175.00,1175.00,25,600
BANKNIFTY22OCT38000CE,07/29/2022,11:26:00,1175.00,1175.00,1175.00,1175.00,75,625
BANKNIFTY22OCT38000CE,07/29/2022,11:43:00,1220.00,1220.00,1220.00,1220.00,25,700
BANKNIFTY22OCT38000CE,07/29/2022,12:09:00,1202.25,1202.25,1202.25,1202.25,100,725
BANKNIFTY22OCT38000CE,07/29/2022,12:38:00,1230.00,1230.00,1230.00,1230.00,25,750
BANKNIFTY22OCT38000CE,07/29/2022,12:43:00,1230.00,1230.00,1230.00,1230.00,25,750
BANKNIFTY22OCT38000CE,07/29/2022,12:50:00,1250.00,1250.00,1250.00,1250.00,25,750
BANKNIFTY22OCT38000CE,07/29/2022,13:02:00,1233.50,1233.50,1233.50,1233.50,75,775
BANKNIFTY22OCT38000CE,07/29/2022,13:10:00,1225.00,1225.00,1225.00,1225.00,25,775
BANKNIFTY22OCT38000CE,07/29/2022,13:14:00,1205.00,1205.00,1205.00,1205.00,75,800
BANKNIFTY22OCT38000CE,07/29/2022,13:15:00,1225.00,1225.00,1225.00,1225.00,25,875
BANKNIFTY22OCT38000CE,07/29/2022,13:16:00,1237.00,1237.00,1237.00,1237.00,25,875
BANKNIFTY22OCT38000CE,07/29/2022,13:22:00,1206.50,1206.50,1206.50,1206.50,25,875
BANKNIFTY22OCT38000CE,07/29/2022,13:23:00,1206.50,1206.50,1206.50,1206.50,25,875
BANKNIFTY22OCT38000CE,07/29/2022,13:26:00,1210.00,1210.00,1210.00,1210.00,25,900
BANKNIFTY22OCT38000CE,07/29/2022,13:31:00,1210.00,1210.00,1210.00,1210.00,25,925
BANKNIFTY22OCT38000CE,07/29/2022,13:55:00,1208.00,1208.00,1208.00,1208.00,125,950
BANKNIFTY22OCT38000CE,07/29/2022,14:13:00,1173.05,1173.05,1173.05,1173.05,50,950
BANKNIFTY22OCT38000CE,07/29/2022,14:24:00,1166.10,1166.10,1166.10,1166.10,25,950
BANKNIFTY22OCT38000CE,07/29/2022,14:55:00,1158.55,1158.55,1158.55,1158.55,25,975
BANKNIFTY22OCT38000CE,07/29/2022,15:01:00,1186.00,1200.00,1186.00,1200.00,50,1000
BANKNIFTY22OCT38000CE,07/29/2022,15:03:00,1200.00,1200.00,1200.00,1200.00,25,1050
BANKNIFTY22OCT38000CE,07/29/2022,15:07:00,1200.00,1200.00,1200.00,1200.00,25,1075
BANKNIFTY22OCT38000CE,07/29/2022,15:10:00,1190.00,1190.00,1190.00,1190.00,25,1100
BANKNIFTY22OCT38000CE,07/29/2022,15:23:00,1249.55,1249.55,1249.55,1249.55,50,1125
