<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY22SEP30000PE,07/01/2022,09:58:00,450.00,450.00,450.00,450.00,26,0
BANKNIFTY22SEP30000PE,07/01/2022,10:08:00,450.00,450.00,450.00,450.00,25,25
BANKNIFTY22SEP30000PE,07/01/2022,10:26:00,431.00,436.60,431.00,431.35,125,50
BANKNIFTY22SEP30000PE,07/01/2022,10:27:00,438.85,438.85,438.85,438.85,25,50
BANKNIFTY22SEP30000PE,07/01/2022,11:24:00,420.20,420.20,420.20,420.20,150,100
BANKNIFTY22SEP30000PE,07/01/2022,11:25:00,420.05,420.05,419.95,419.95,50,100
BANKNIFTY22SEP30000PE,07/01/2022,11:26:00,419.95,427.00,419.95,427.00,325,350
BANKNIFTY22SEP30000PE,07/01/2022,11:27:00,427.00,427.00,427.00,427.00,25,350
BANKNIFTY22SEP30000PE,07/01/2022,11:47:00,420.35,420.35,420.35,420.35,25,450
BANKNIFTY22SEP30000PE,07/01/2022,11:49:00,421.45,421.45,421.45,421.45,25,450
BANKNIFTY22SEP30000PE,07/01/2022,11:51:00,418.05,418.05,418.05,418.05,25,450
BANKNIFTY22SEP30000PE,07/01/2022,12:20:00,418.05,418.05,418.05,418.05,25,475
BANKNIFTY22SEP30000PE,07/01/2022,12:50:00,418.60,418.60,418.60,418.60,50,500
BANKNIFTY22SEP30000PE,07/01/2022,13:05:00,404.95,404.95,402.20,402.20,75,500
BANKNIFTY22SEP30000PE,07/01/2022,13:10:00,397.05,397.05,397.05,397.05,75,575
BANKNIFTY22SEP30000PE,07/01/2022,13:13:00,400.35,400.35,400.35,400.35,25,650
BANKNIFTY22SEP30000PE,07/01/2022,13:23:00,398.15,398.15,398.15,398.15,25,675
BANKNIFTY22SEP30000PE,07/01/2022,13:44:00,391.50,391.50,391.50,391.50,25,700
BANKNIFTY22SEP30000PE,07/01/2022,13:46:00,387.15,387.15,387.15,387.15,50,700
BANKNIFTY22SEP30000PE,07/01/2022,14:00:00,391.65,391.65,391.65,391.65,25,700
BANKNIFTY22SEP30000PE,07/01/2022,14:02:00,391.65,391.65,391.65,391.65,25,700
BANKNIFTY22SEP30000PE,07/01/2022,14:24:00,401.10,402.50,401.10,402.50,50,725
BANKNIFTY22SEP30000PE,07/01/2022,14:28:00,401.35,401.35,401.35,401.35,25,750
BANKNIFTY22SEP30000PE,07/01/2022,14:29:00,402.45,402.45,402.45,402.45,25,750
BANKNIFTY22SEP30000PE,07/01/2022,14:59:00,380.15,380.15,380.15,380.15,50,800
BANKNIFTY22SEP30000PE,07/01/2022,15:03:00,380.25,380.25,380.25,380.25,25,800
BANKNIFTY22SEP30000PE,07/01/2022,15:04:00,382.40,382.40,382.40,382.40,25,800
BANKNIFTY22SEP30000PE,07/01/2022,15:07:00,372.95,372.95,372.95,372.95,25,850
