<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKNIFTY22SEP35900CE,07/08/2022,14:00:00,1000.50,1000.50,1000.50,1000.50,26,0
BANKNIFTY22SEP35900CE,07/11/2022,11:29:00,1074.60,1074.60,1074.60,1074.60,26,25
BANKNIFTY22SEP35900CE,07/14/2022,11:08:00,919.60,919.60,919.60,919.60,26,50
BANKNIFTY22SEP35900CE,07/20/2022,15:20:00,1309.55,1309.55,1309.55,1309.55,26,75
BANKNIFTY22SEP35900CE,07/21/2022,10:39:00,1375.05,1375.05,1375.05,1375.05,26,75
BANKNIFTY22SEP35900CE,07/22/2022,09:32:00,1582.25,1582.25,1582.25,1582.25,26,100
BANKNIFTY22SEP35900CE,07/22/2022,09:35:00,1582.20,1582.20,1582.20,1582.20,25,125
BANKNIFTY22SEP35900CE,07/22/2022,09:52:00,1582.00,1582.00,1582.00,1582.00,25,100
BANKNIFTY22SEP35900CE,07/22/2022,10:37:00,1582.00,1582.00,1582.00,1582.00,25,75
BANKNIFTY22SEP35900CE,07/22/2022,12:03:00,1670.00,1670.00,1670.00,1670.00,25,75
BANKNIFTY22SEP35900CE,07/26/2022,09:46:00,1605.40,1605.40,1605.40,1605.40,26,50
BANKNIFTY22SEP35900CE,07/26/2022,09:56:00,1597.00,1597.00,1597.00,1597.00,25,75
BANKNIFTY22SEP35900CE,07/26/2022,10:02:00,1562.90,1562.90,1562.90,1562.90,50,100
BANKNIFTY22SEP35900CE,07/26/2022,10:10:00,1547.10,1547.10,1547.10,1547.10,25,150
BANKNIFTY22SEP35900CE,07/26/2022,11:41:00,1547.10,1547.10,1547.10,1547.10,25,175
BANKNIFTY22SEP35900CE,07/27/2022,10:21:00,1612.70,1612.70,1612.70,1612.70,26,200
BANKNIFTY22SEP35900CE,07/27/2022,10:35:00,1595.45,1595.45,1595.45,1595.45,50,225
BANKNIFTY22SEP35900CE,07/27/2022,11:52:00,1662.75,1662.75,1595.45,1595.45,100,275
BANKNIFTY22SEP35900CE,07/27/2022,15:01:00,1769.40,1769.40,1769.40,1769.40,50,325
BANKNIFTY22SEP35900CE,07/28/2022,09:22:00,1936.00,1936.00,1936.00,1936.00,201,325
BANKNIFTY22SEP35900CE,07/28/2022,09:24:00,1996.70,1996.70,1996.70,1996.70,25,525
BANKNIFTY22SEP35900CE,07/28/2022,10:16:00,2036.35,2036.35,2036.35,2036.35,75,525
BANKNIFTY22SEP35900CE,07/28/2022,11:15:00,2106.00,2106.00,2106.00,2106.00,25,600
BANKNIFTY22SEP35900CE,07/28/2022,13:23:00,2106.00,2106.00,2106.00,2106.00,25,625
BANKNIFTY22SEP35900CE,07/28/2022,13:24:00,2106.00,2106.00,2106.00,2106.00,225,650
BANKNIFTY22SEP35900CE,07/28/2022,13:25:00,2106.00,2106.00,2106.00,2106.00,25,650
BANKNIFTY22SEP35900CE,07/29/2022,12:35:00,2236.95,2236.95,2236.95,2236.95,26,900
BANKNIFTY22SEP35900CE,07/29/2022,12:50:00,2290.00,2290.00,2290.00,2290.00,25,900
